ano,codigo,sigla,local,populacao_total,taxa_crescimento,expectativa_vida,expectativa_vida_60,taxa_fecundidade,razao_dependencia_jovens,razao_dependencia_idosos,razao_dependencia_total,indice_envelhecimento,idade_media,idade_mediana
2045,1,NO,Norte,20359031,0.100705315802019,80.0925636398832,24.6385209538205,1.48077945622349,25.8867115113098,35.2658070559508,61.1525185672606,136.231313276479,39.771498555113,39.9880651562758
2046,1,NO,Norte,20374328,0.0751361889473001,80.266027823305,24.7276385656538,1.47754175852172,25.6827079900976,36.5410804787109,62.2237884688085,142.278923596374,40.1424421458219,40.4618133198856
2047,1,NO,Norte,20384446,0.0496605335891243,80.4370355402467,24.8155699760016,1.47490592385648,25.4918834829509,37.7992941880459,63.2911776709968,148.279722890332,40.50897345947,40.9313814297409
2048,1,NO,Norte,20389379,0.0241998237283436,80.605517993346,24.9022454196734,1.47282876459023,25.3108155935619,39.0317501936263,64.3425657871882,154.209768742317,40.8710397702647,41.3934979842102
2049,1,NO,Norte,20388991,-0.0019029515317736,80.7715481793193,24.98772081583,1.47121857011031,25.1367395395357,40.2411164620268,65.3778560015625,160.088846840039,41.228642113776,41.8514942474267
2050,1,NO,Norte,20383307,-0.0278777895384773,80.9351655717032,25.0719948457868,1.47001630076105,24.9711923485702,41.4437723793038,66.414964727874,165.96633352863,41.5816500237179,42.3044814675262
2051,1,NO,Norte,20372387,-0.0535732499147511,81.0963503868005,25.1550712138774,1.46919572699256,24.8183117249752,42.663141281388,67.4814530063632,171.901867275102,41.929753150674,42.7515602603406
2052,1,NO,Norte,20356208,-0.0794163197469167,81.2551637513801,25.236947824727,1.46872212006225,24.6819156333175,43.9189951965465,68.600910829864,177.939977791924,42.272719162626,43.1920232426206
2053,1,NO,Norte,20334783,-0.105250447431071,81.4115408481392,25.3175718038829,1.46855687344221,24.5617789251291,45.2152709970365,69.7770499221656,184.087932453365,42.6104793446775,43.6166067817452
2054,1,NO,Norte,20307949,-0.131961083627008,81.5655536276112,25.3969846422379,1.4686870484068,24.4545053656266,46.5472306751681,71.0017360407946,190.342147507081,42.9431607298206,44.0308729064461
